"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",11800,"CLE@CHI 12/04/2017 08:00PM ET",56.261,"CLE"
"PF/C","DeMarcus Cousins",11000,"GS@NO 12/04/2017 08:00PM ET",54.576,"NO"
"SF/PF","Giannis Antetokounmpo",10600,"MIL@BOS 12/04/2017 07:30PM ET",55.513,"MIL"
"PF/C","Anthony Davis",10100,"GS@NO 12/04/2017 08:00PM ET",49.000,"NO"
"PG/SF","Ben Simmons",9800,"PHO@PHI 12/04/2017 07:00PM ET",45.631,"PHI"
"C","Joel Embiid",9800,"PHO@PHI 12/04/2017 07:00PM ET",45.842,"PHI"
"PG/SG","Stephen Curry",9400,"GS@NO 12/04/2017 08:00PM ET",46.524,"GS"
"SF/PF","Kevin Durant",9000,"GS@NO 12/04/2017 08:00PM ET",45.819,"GS"
"C","Andre Drummond",8800,"DET@SA 12/04/2017 08:30PM ET",44.341,"DET"
"PG/SG","Victor Oladipo",8700,"NY@IND 12/04/2017 07:00PM ET",41.284,"IND"
"PG","Kyrie Irving",8500,"MIL@BOS 12/04/2017 07:30PM ET",38.457,"BOS"
"PG","John Wall",8500,"WAS@UTA 12/04/2017 09:00PM ET",42.313,"WAS"
"C","Nikola Jokic",8500,"DEN@DAL 12/04/2017 08:30PM ET",39.881,"DEN"
"PF/C","Kristaps Porzingis",8400,"NY@IND 12/04/2017 07:00PM ET",41.118,"NY"
"C","Karl-Anthony Towns",8300,"MIN@MEM 12/04/2017 08:00PM ET",41.630,"MIN"
"PF/C","LaMarcus Aldridge",8300,"DET@SA 12/04/2017 08:30PM ET",40.295,"SA"
"PF/C","Kevin Love",8200,"CLE@CHI 12/04/2017 08:00PM ET",37.880,"CLE"
"C","Marc Gasol",8100,"MIN@MEM 12/04/2017 08:00PM ET",40.875,"MEM"
"PG","Dennis Schroder",8000,"BKN@ATL 12/04/2017 07:30PM ET",35.275,"ATL"
"SF/PF","Kawhi Leonard",8000,"DET@SA 12/04/2017 08:30PM ET",0,"SA"
"SF/PF","Aaron Gordon",7900,"ORL@CHA 12/04/2017 07:00PM ET",37.357,"ORL"
"SG/SF","Devin Booker",7800,"PHO@PHI 12/04/2017 07:00PM ET",36.946,"PHO"
"C","Dwight Howard",7700,"ORL@CHA 12/04/2017 07:00PM ET",35.107,"CHA"
"PF/C","Al Horford",7600,"MIL@BOS 12/04/2017 07:30PM ET",34.841,"BOS"
"C","Rudy Gobert",7500,"WAS@UTA 12/04/2017 09:00PM ET",35.042,"UTA"
"PG","Kemba Walker",7500,"ORL@CHA 12/04/2017 07:00PM ET",38.289,"CHA"
"SG","Bradley Beal",7400,"WAS@UTA 12/04/2017 09:00PM ET",36.500,"WAS"
"PF/C","Draymond Green",7400,"GS@NO 12/04/2017 08:00PM ET",35.136,"GS"
"SG/SF","Tyreke Evans",7300,"MIN@MEM 12/04/2017 08:00PM ET",32.705,"MEM"
"PG","D'Angelo Russell",7200,"BKN@ATL 12/04/2017 07:30PM ET",36.458,"BKN"
"C","Nikola Vucevic",7100,"ORL@CHA 12/04/2017 07:00PM ET",35.076,"ORL"
"PG/SG","Spencer Dinwiddie",7000,"BKN@ATL 12/04/2017 07:30PM ET",27.375,"BKN"
"SG","Klay Thompson",7000,"GS@NO 12/04/2017 08:00PM ET",33.522,"GS"
"PG/SG","Donovan Mitchell",6900,"WAS@UTA 12/04/2017 09:00PM ET",28.783,"UTA"
"SG","Jimmy Butler",6900,"MIN@MEM 12/04/2017 08:00PM ET",35.369,"MIN"
"SG/SF","Will Barton",6900,"DEN@DAL 12/04/2017 08:30PM ET",29.216,"DEN"
"SG/SF","Tim Hardaway Jr.",6800,"NY@IND 12/04/2017 07:00PM ET",31.238,"NY"
"PG/SG","Eric Bledsoe",6700,"MIL@BOS 12/04/2017 07:30PM ET",32.196,"MIL"
"PF/C","Derrick Favors",6700,"WAS@UTA 12/04/2017 09:00PM ET",27.609,"UTA"
"SF/PF","T.J. Warren",6700,"PHO@PHI 12/04/2017 07:00PM ET",30.667,"PHO"
"SF/PF","Otto Porter",6600,"WAS@UTA 12/04/2017 09:00PM ET",32.548,"WAS"
"SF/PF","Harrison Barnes",6600,"DEN@DAL 12/04/2017 08:30PM ET",32.185,"DAL"
"PG","Isaiah Thomas",6500,"CLE@CHI 12/04/2017 08:00PM ET",0,"CLE"
"SF/PF","Andrew Wiggins",6500,"MIN@MEM 12/04/2017 08:00PM ET",31.043,"MIN"
"PG","Jeff Teague",6400,"MIN@MEM 12/04/2017 08:00PM ET",33.066,"MIN"
"PG","Mike Conley",6400,"MIN@MEM 12/04/2017 08:00PM ET",28.771,"MEM"
"PF/C","Paul Millsap",6400,"DEN@DAL 12/04/2017 08:30PM ET",31.828,"DEN"
"SF/PF","Tobias Harris",6400,"DET@SA 12/04/2017 08:30PM ET",30.977,"DET"
"SG/SF","Khris Middleton",6300,"MIL@BOS 12/04/2017 07:30PM ET",35.107,"MIL"
"PG/SG","Jrue Holiday",6300,"GS@NO 12/04/2017 08:00PM ET",31.837,"NO"
"PF/C","Enes Kanter",6200,"NY@IND 12/04/2017 07:00PM ET",31.181,"NY"
"SF/PF","Robert Covington",6200,"PHO@PHI 12/04/2017 07:00PM ET",30.920,"PHI"
"PG/SG","Kris Dunn",6100,"CLE@CHI 12/04/2017 08:00PM ET",27.426,"CHI"
"PF","Lauri Markkanen",6100,"CLE@CHI 12/04/2017 08:00PM ET",29.893,"CHI"
"C","Myles Turner",6100,"NY@IND 12/04/2017 07:00PM ET",30.781,"IND"
"SF/PF","Jayson Tatum",6000,"MIL@BOS 12/04/2017 07:30PM ET",26.510,"BOS"
"SG/SF","Jaylen Brown",6000,"MIL@BOS 12/04/2017 07:30PM ET",27.446,"BOS"
"PG","Elfrid Payton",6000,"ORL@CHA 12/04/2017 07:00PM ET",28.982,"ORL"
"SF/PF","DeMarre Carroll",5900,"BKN@ATL 12/04/2017 07:30PM ET",28.725,"BKN"
"PF/C","Taj Gibson",5900,"MIN@MEM 12/04/2017 08:00PM ET",25.935,"MIN"
"PG","Reggie Jackson",5900,"DET@SA 12/04/2017 08:30PM ET",29.114,"DET"
"SG","Gary Harris",5800,"DEN@DAL 12/04/2017 08:30PM ET",27.100,"DEN"
"SG/SF","Jeremy Lamb",5800,"ORL@CHA 12/04/2017 07:00PM ET",30.095,"CHA"
"SG/SF","Kent Bazemore",5700,"BKN@ATL 12/04/2017 07:30PM ET",27.045,"ATL"
"SF/PF","Rondae Hollis-Jefferson",5700,"BKN@ATL 12/04/2017 07:30PM ET",26.132,"BKN"
"PF/C","John Collins",5700,"BKN@ATL 12/04/2017 07:30PM ET",24.202,"ATL"
"SG/SF","Rodney Hood",5700,"WAS@UTA 12/04/2017 09:00PM ET",25.986,"UTA"
"PG","Darren Collison",5700,"NY@IND 12/04/2017 07:00PM ET",28.717,"IND"
"SG/SF","Nicolas Batum",5700,"ORL@CHA 12/04/2017 07:00PM ET",22.250,"CHA"
"SG/SF","Justin Holiday",5600,"CLE@CHI 12/04/2017 08:00PM ET",27.713,"CHI"
"PG/SG","Dwyane Wade",5600,"CLE@CHI 12/04/2017 08:00PM ET",25.080,"CLE"
"SF/PF","Thaddeus Young",5600,"NY@IND 12/04/2017 07:00PM ET",27.728,"IND"
"PG/SG","Dennis Smith Jr.",5600,"DEN@DAL 12/04/2017 08:30PM ET",26.905,"DAL"
"PF/C","Dario Saric",5600,"PHO@PHI 12/04/2017 07:00PM ET",24.114,"PHI"
"PG","Ricky Rubio",5500,"WAS@UTA 12/04/2017 09:00PM ET",27.534,"UTA"
"SG/SF","Evan Fournier",5500,"ORL@CHA 12/04/2017 07:00PM ET",29.413,"ORL"
